name,url
Denis Villeneuve,/celebrity/denis-villeneuve
Michael Green,/celebrity/michael-green
Hampton Fancher,/celebrity/1056424-hampton_fancher
Ryan Gosling,/celebrity/ryan_gosling
Harrison Ford,/celebrity/harrison_ford
Ana de Armas,/celebrity/ana_celia_de_harmas
Sylvia Hoeks,/celebrity/sylvia_hoeks
Robin Wright,/celebrity/robin_wright
Mackenzie Davis,/celebrity/mackenzie_davis
Carla Juri,/celebrity/carla_juri
Lennie James,/celebrity/lennie_james
Jared Leto,/celebrity/jared_leto
Dave Bautista,/celebrity/dave_bautista
